,sound,points,image_name,Metadata_files
0,mooring,"[[322.18518518518516, 592.1111111111111], [388.85185185185185, 737.2962962962962]]",20181204T100004-File-0.png,20181204T100004-File-0Metadata
1,mooring,"[[979.8328328328328, 549.1481481481482], [1054.6476476476478, 724.7037037037037]]",20181204T100004-File-0.png,20181204T100004-File-0Metadata
2,mooring,"[[1865.8888888888887, 611.3703703703703], [1915.5185185185185, 712.1111111111111]]",20181204T100004-File-0.png,20181204T100004-File-0Metadata
3,mooring,"[[737.9879518072288, 739.7831325301204], [821.1204819277108, 573.5180722891565]]",20181204T100004-File-1.png,20181204T100004-File-1Metadata
4,mooring,"[[1975.3373493975903, 919.301204819277], [2034.3734939759033, 842.1927710843372]]",20181204T100004-File-1.png,20181204T100004-File-1Metadata
5,mooring,"[[1690.9999999999998, 883.1566265060239], [1798.2289156626505, 689.1807228915662]]",20181204T100004-File-1.png,20181204T100004-File-1Metadata
6,mooring,"[[347.3703703703703, 598.7777777777777], [438.48148148148147, 701.0]]",20181204T100004-File-10.png,20181204T100004-File-10Metadata
7,mooring,"[[768.1111111111111, 609.8888888888888], [831.074074074074, 711.3703703703703]]",20181204T100004-File-10.png,20181204T100004-File-10Metadata
8,mooring,"[[1439.2222222222222, 626.1851851851851], [1488.111111111111, 741.7407407407406]]",20181204T100004-File-10.png,20181204T100004-File-10Metadata
9,fish,"[[1437.7407407407406, 95.81481481481481], [1513.2962962962963, 963.2222222222222]]",20181204T100004-File-10.png,20181204T100004-File-10Metadata
10,mooring,"[[637.9117647058823, 656.4999999999999], [758.5, 784.4411764705882]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
11,mooring,"[[1636.441176470588, 773.4117647058823], [1692.3235294117646, 558.7058823529411]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
12,mooring,"[[1829.0882352941176, 813.1176470588234], [1898.205882352941, 666.7941176470588]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
13,mooring,"[[1748.941176470588, 882.2352941176471], [1819.5294117647059, 780.0294117647059]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
14,mooring,"[[779.8235294117646, 941.7941176470588], [866.5882352941176, 834.4411764705882]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
15,mooring,"[[552.6176470588235, 882.9705882352941], [646.0, 771.9411764705882]]",20181204T100004-File-17.png,20181204T100004-File-17Metadata
16,mooring,"[[792.5555555555555, 806.9259259259259], [876.2592592592592, 955.8148148148148]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
17,mooring,"[[1543.6666666666665, 851.3703703703703], [1617.0, 979.5185185185185]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
18,mooring,"[[668.1111111111111, 509.8888888888888], [751.074074074074, 717.2962962962962]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
19,fish,"[[1339.2222222222222, 93.59259259259258], [1409.5925925925926, 981.0]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
20,mooring,"[[1804.4074074074074, 813.5925925925925], [1876.9999999999998, 940.2592592592591]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
21,mooring,"[[2020.7037037037035, 868.4074074074074], [2088.111111111111, 932.1111111111111]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
22,mooring,"[[1909.5925925925924, 533.5925925925925], [1982.185185185185, 718.7777777777777]]",20181204T100004-File-21.png,20181204T100004-File-21Metadata
23,mooring,"[[428.85185185185185, 875.8148148148148], [482.18518518518516, 961.0]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
24,mooring,"[[608.8518518518518, 809.8888888888888], [682.9259259259259, 938.7777777777776]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
25,mooring,"[[896.9999999999999, 557.2962962962963], [957.7407407407406, 752.1111111111111]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
26,mooring,"[[1018.4814814814814, 815.8148148148148], [1100.7037037037037, 921.7407407407406]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
27,mooring,"[[1141.4444444444443, 658.7777777777777], [1205.888888888889, 779.5185185185185]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
28,mooring,"[[492.55555555555554, 512.8518518518518], [560.7037037037037, 738.7777777777777]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
29,mooring,"[[1511.8148148148148, 734.3333333333333], [1585.8888888888887, 864.7037037037036]]",20181204T100004-File-27.png,20181204T100004-File-27Metadata
30,mooring,"[[382.56626506024094, 614.4819277108433], [458.4698795180723, 778.3373493975903]]",20181204T100004-File-8.png,20181204T100004-File-8Metadata
31,helicopter,"[[1920.952380952381, 1048.1904761904761], [2166.190476190476, 474.3809523809524]]",20181204T100004-File-8.png,20181204T100004-File-8Metadata
32,mooring,"[[1044.4074074074074, 561.0], [1112.5555555555554, 712.8518518518518]]",20181204T113004-File-10.png,20181204T113004-File-10Metadata
33,mooring,"[[1172.5555555555554, 358.03703703703695], [1217.0, 487.66666666666663]]",20181204T113004-File-10.png,20181204T113004-File-10Metadata
34,mooring,"[[1162.9259259259259, 692.8518518518518], [1228.111111111111, 808.4074074074074]]",20181204T113004-File-10.png,20181204T113004-File-10Metadata
35,mooring,"[[1907.3703703703702, 855.074074074074], [1970.3333333333333, 927.6666666666665]]",20181204T113004-File-10.png,20181204T113004-File-10Metadata
36,mooring,"[[539.9629629629629, 574.3333333333333], [602.1851851851851, 702.4814814814814]]",20181204T113004-File-11.png,20181204T113004-File-11Metadata
37,mooring,"[[1312.5555555555554, 818.037037037037], [1367.3703703703702, 926.9259259259259]]",20181204T113004-File-11.png,20181204T113004-File-11Metadata
38,mooring,"[[1417.7407407407406, 614.3333333333333], [1458.4814814814813, 690.6296296296296]]",20181204T113004-File-11.png,20181204T113004-File-11Metadata
39,mooring,"[[2052.555555555555, 872.8518518518517], [2100.7037037037035, 929.8888888888889]]",20181204T113004-File-11.png,20181204T113004-File-11Metadata
40,mooring,"[[528.3879551820728, 658.5308123249299], [579.858543417367, 817.3543417366946]]",20181204T113004-File-15.png,20181204T113004-File-15Metadata
41,mooring,"[[1025.4117647058822, 651.3529411764705], [1096.0, 818.2647058823529]]",20181204T113004-File-15.png,20181204T113004-File-15Metadata
42,mooring,"[[1900.4117647058822, 718.2647058823529], [1969.5294117647056, 870.4705882352941]]",20181204T113004-File-15.png,20181204T113004-File-15Metadata
43,mooring,"[[1457.0294117647059, 682.970588235294], [1507.0294117647059, 749.1470588235294]]",20181204T113004-File-15.png,20181204T113004-File-15Metadata
44,mooring,"[[424.7349397590361, 748.2168674698794], [490.99999999999994, 551.8313253012047]]",20181204T113004-File-16.png,20181204T113004-File-16Metadata
45,mooring,"[[1209.0722891566263, 938.5783132530119], [1275.3373493975903, 848.2168674698794]]",20181204T113004-File-16.png,20181204T113004-File-16Metadata
46,mooring,"[[1645.2168674698794, 744.6024096385541], [1735.5783132530119, 602.433734939759]]",20181204T113004-File-16.png,20181204T113004-File-16Metadata
47,mooring,"[[1352.44578313253, 895.2048192771083], [1405.4578313253012, 790.3855421686746]]",20181204T113004-File-26.png,20181204T113004-File-26Metadata
48,mooring,"[[1353.2962962962963, 598.7777777777777], [1419.9629629629628, 717.2962962962962]]",20181204T113004-File-9.png,20181204T113004-File-9Metadata
49,mooring,"[[599.9629629629629, 784.7037037037037], [685.8888888888888, 919.5185185185185]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
50,mooring,"[[962.9259259259259, 598.037037037037], [1019.2222222222222, 723.9629629629629]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
51,mooring,"[[1094.7777777777776, 840.9999999999999], [1151.8148148148148, 927.6666666666665]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
52,mooring,"[[1328.8518518518517, 791.3703703703703], [1401.4444444444443, 889.8888888888889]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
53,humpback,"[[919.2222222222222, 338.77777777777777], [958.4814814814814, 418.7777777777777]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
54,mooring,"[[1088.8518518518517, 681.7407407407406], [1158.4814814814813, 767.6666666666666]]",20181204T130004-File-3.png,20181204T130004-File-3Metadata
55,mooring,"[[758.4698795180723, 796.4096385542168], [823.5301204819276, 684.3614457831325]]",20181204T143004-File-10.png,20181204T143004-File-10Metadata
56,mooring,"[[983.7710843373493, 749.4216867469879], [1031.9638554216867, 655.4457831325301]]",20181204T143004-File-10.png,20181204T143004-File-10Metadata
57,mooring,"[[1565.6987951807228, 938.5783132530119], [1630.7590361445782, 842.1927710843372]]",20181204T143004-File-10.png,20181204T143004-File-10Metadata
58,mooring,"[[731.2941176470588, 682.235294117647], [812.9117647058823, 793.9999999999999]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
59,mooring,"[[723.9411764705882, 849.8823529411764], [821.735294117647, 942.5294117647059]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
60,mooring,"[[1517.3235294117646, 699.1470588235294], [1586.441176470588, 771.9411764705882]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
61,mooring,"[[1622.470588235294, 632.970588235294], [1705.5588235294117, 760.1764705882352]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
62,mooring,"[[360.70588235294116, 849.1470588235294], [413.6470588235294, 938.1176470588234]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
63,mooring,"[[1976.8823529411764, 703.5588235294117], [2019.5294117647056, 782.970588235294]]",20181204T143004-File-11.png,20181204T143004-File-11Metadata
64,mooring,"[[355.38838838838836, 688.4074074074074], [410.9439439439439, 780.9999999999999]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
65,mooring,"[[467.3703703703703, 767.6666666666666], [543.6666666666666, 914.3333333333333]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
66,mooring,"[[562.9259259259259, 663.9629629629629], [621.4444444444445, 801.7407407407406]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
67,mooring,"[[946.6296296296296, 838.037037037037], [1006.6296296296296, 933.5925925925926]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
68,mooring,"[[1029.5925925925926, 634.3333333333333], [1067.3703703703702, 742.4814814814814]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
69,mooring,"[[1061.4444444444443, 608.4074074074074], [1110.3333333333333, 758.7777777777777]]",20181204T143004-File-26.png,20181204T143004-File-26Metadata
70,mooring,"[[845.4054054054054, 618.972972972973], [904.8648648648649, 700.0540540540541]]",20181204T143004-File-27.png,20181204T143004-File-27Metadata
71,fish,"[[668.1111111111111, 92.85185185185185], [1147.3703703703702, 961.7407407407406]]",20181204T160004-File-23.png,20181204T160004-File-23Metadata
72,mooring,"[[1905.8888888888887, 839.5185185185185], [1962.185185185185, 932.8518518518517]]",20181204T160004-File-23.png,20181204T160004-File-23Metadata
73,mooring,"[[323.66666666666663, 798.037037037037], [379.96296296296293, 909.8888888888889]]",20181204T160004-File-24.png,20181204T160004-File-24Metadata
74,mooring,"[[1073.941176470588, 652.0882352941176], [1147.142857142857, 722.0]]",20181204T173004-File-11.png,20181204T173004-File-11Metadata
75,mooring,"[[1507.764705882353, 761.6470588235294], [1557.764705882353, 842.5294117647059]]",20181204T173004-File-11.png,20181204T173004-File-11Metadata
76,mooring,"[[1034.037037037037, 806.1851851851851], [1112.5555555555554, 935.8148148148148]]",20181204T173004-File-24.png,20181204T173004-File-24Metadata
77,fish,"[[1394.7777777777776, 92.85185185185185], [1460.7037037037037, 984.7037037037037]]",20181204T173004-File-24.png,20181204T173004-File-24Metadata
78,mooring,"[[602.9259259259259, 872.8518518518517], [670.3333333333333, 998.037037037037]]",20181204T173004-File-24.png,20181204T173004-File-24Metadata
79,mooring,"[[1597.142857142857, 672.0], [1668.111111111111, 938.037037037037]]",20181204T173004-File-24.png,20181204T173004-File-24Metadata
80,mooring,"[[1077.7407407407406, 530.6296296296296], [1117.7407407407406, 716.5555555555555]]",20181204T173004-File-5.png,20181204T173004-File-5Metadata
81,mooring,"[[1110.3333333333333, 636.5555555555555], [1162.1851851851852, 727.6666666666666]]",20181204T173004-File-5.png,20181204T173004-File-5Metadata
82,mooring,"[[1016.2592592592592, 868.4074074074074], [1070.3333333333333, 925.4444444444443]]",20181204T173004-File-5.png,20181204T173004-File-5Metadata
83,mooring,"[[1458.5, 620.470588235294], [1497.470588235294, 700.6176470588234]]",20181204T190004-File-13.png,20181204T190004-File-13Metadata
84,mooring,"[[1771.7352941176468, 620.470588235294], [1841.5882352941176, 713.8529411764705]]",20181204T190004-File-13.png,20181204T190004-File-13Metadata
85,mooring,"[[1401.1470588235293, 702.8235294117646], [1468.0588235294117, 789.5882352941176]]",20181204T190004-File-13.png,20181204T190004-File-13Metadata
86,mooring,"[[1513.6470588235293, 612.7675070028012], [1570.264705882353, 703.9439775910364]]",20181204T190004-File-21.png,20181204T190004-File-21Metadata
87,mooring,"[[1612.9117647058822, 802.8235294117646], [1665.1176470588234, 873.4117647058822]]",20181204T190004-File-21.png,20181204T190004-File-21Metadata
88,mooring,"[[1420.264705882353, 844.735294117647], [1485.705882352941, 915.3235294117646]]",20181204T190004-File-21.png,20181204T190004-File-21Metadata
89,mooring,"[[1706.2941176470588, 555.0294117647059], [1773.941176470588, 705.0294117647059]]",20181204T190004-File-21.png,20181204T190004-File-21Metadata
90,mooring,"[[554.037037037037, 809.8888888888888], [613.2962962962963, 927.6666666666665]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
91,mooring,"[[768.1111111111111, 835.074074074074], [855.5185185185185, 926.9259259259259]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
92,mooring,"[[1225.148148148148, 674.3333333333333], [1294.037037037037, 933.5925925925926]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
93,mooring,"[[1301.4444444444443, 658.7777777777777], [1336.2592592592591, 753.5925925925925]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
94,mooring,"[[1302.185185185185, 833.5925925925925], [1340.7037037037037, 918.037037037037]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
95,mooring,"[[1339.2222222222222, 732.8518518518518], [1380.7037037037037, 811.3703703703703]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
96,mooring,"[[1665.148148148148, 806.1851851851851], [1759.2222222222222, 922.4814814814815]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
97,mooring,"[[1756.100529100529, 562.3227513227514], [1853.1375661375662, 720.8412698412699]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
98,mooring,"[[1895.5185185185185, 828.4074074074074], [1966.6296296296296, 1015.8148148148148]]",20181204T203004-File-0.png,20181204T203004-File-0Metadata
99,fish,"[[687.1764705882352, 382.2352941176471], [829.0882352941176, 980.0294117647059]]",20181204T203004-File-20.png,20181204T203004-File-20Metadata
100,mooring,"[[609.047619047619, 812.4761904761906], [609.047619047619, 950.5714285714287], [673.3333333333334, 945.8095238095239], [668.5714285714286, 812.4761904761906]]",20181204T203004-File-20.png,20181204T203004-File-20Metadata
101,airplane,"[[1332.857142857143, 100.57142857142856], [1592.7027027027027, 1058.162162162162]]",20181204T203004-File-29.png,20181204T203004-File-29Metadata
102,mooring,"[[346.735294117647, 785.9117647058823], [412.17647058823525, 913.8529411764705]]",20181205T010004-File-21.png,20181205T010004-File-21Metadata
103,mooring,"[[833.4999999999999, 635.1764705882352], [882.0294117647059, 738.1176470588234]]",20181205T010004-File-21.png,20181205T010004-File-21Metadata
