vggish_point,label
100-1640,humpback
100-1641,humpback
100-1642,humpback
100-1646,humpback
100-1647,humpback
100-1648,humpback
1006-1821,mooring
1006-1822,mooring
1006-1823,mooring
1006-1828,mooring
1006-1829,mooring
1006-1830,mooring
1006-251,mooring
1006-252,mooring
1006-253,mooring
1006-286,mooring
1006-287,mooring
1006-288,mooring
1006-289,mooring
1006-295,flow noise
1006-296,flow noise
1006-297,flow noise
1006-298,flow noise
1006-299,flow noise
1006-302,flow noise-mooring
1006-303,flow noise-mooring
1006-304,flow noise-mooring
1006-305,flow noise
1006-306,flow noise
1006-307,flow noise
1006-309,mooring
1006-310,flow noise-mooring
1006-311,flow noise
1006-312,flow noise
1018-569,fish
1018-570,fish
1018-571,fish
1018-572,fish
1018-573,fish
1018-574,fish
1018-575,fish
1018-576,fish
1018-579,humpback
1018-580,humpback
1018-581,humpback
1018-602,humpback
1018-603,humpback
1018-604,humpback
1018-605,humpback
1018-618,fish
1018-619,fish
1018-620,fish
1018-621,fish
1018-622,fish
1018-623,fish
1018-624,fish
1020-503,humpback
1020-504,humpback
1020-505,humpback
1020-507,humpback
1020-508,humpback
1020-509,humpback
1020-510,humpback
1020-511,fish
1020-512,fish
1020-513,fish-humpback
1020-514,fish-humpback
1020-515,fish-humpback
1020-516,fish
1020-517,fish
1020-518,fish
1020-519,fish
1020-520,fish
1020-521,fish
1020-522,fish
1020-523,fish
1020-524,fish-humpback
1020-525,fish-humpback
1020-526,fish-humpback
1020-527,fish-humpback
1020-528,fish
1020-529,fish
1020-530,fish-humpback
1020-531,fish-humpback
1020-532,fish-humpback
1020-533,fish-humpback
1020-534,fish
1020-535,fish
1020-536,fish
1020-537,humpback
1020-538,humpback
1020-539,humpback
1020-540,humpback
1020-541,humpback
1020-542,humpback
1020-543,humpback
1020-544,humpback
1020-545,humpback
1020-546,humpback
1020-557,humpback
1020-558,humpback
1020-559,humpback
1039-1575,flow noise
1039-1576,flow noise
1039-1577,flow noise
1039-1578,flow noise
1039-1579,flow noise
1039-1580,flow noise
1039-1581,flow noise
1039-1582,flow noise
1039-1583,flow noise
1039-1584,flow noise
1039-1585,flow noise
1039-1586,flow noise
1039-1587,flow noise
1039-1588,flow noise
1039-1589,flow noise
1039-1590,flow noise
1039-1591,flow noise
1039-1592,flow noise
1039-1593,flow noise
1039-1594,flow noise
1039-1595,flow noise
1039-1596,flow noise
1039-1597,flow noise
1039-1598,flow noise
1039-1599,flow noise
1039-1600,flow noise
1044-1036,mooring
1044-1037,mooring
1044-1038,mooring
1044-1053,mooring
1044-1054,mooring
1044-1055,mooring
1044-1056,mooring
1044-1547,mooring
1044-1548,mooring
1044-1549,mooring
1044-1550,mooring
1044-1551,mooring
1044-1552,mooring
1044-1553,mooring
1044-509,mooring
1044-510,mooring
1044-511,mooring
1044-523,mooring
1044-524,mooring
1044-525,mooring
1044-526,mooring
1044-535,mooring
1044-536,mooring
1044-537,fish-mooring
1044-538,fish-mooring
1044-539,fish-mooring
1044-540,fish-mooring
1044-541,fish-mooring
1044-544,mooring
1044-545,mooring
1044-546,mooring
1047-1500,airplane
1047-1501,airplane
1047-1502,airplane
1047-1503,airplane
1047-1504,airplane
1047-1505,airplane
1047-1506,airplane
1047-1507,airplane
1047-1508,airplane
1047-1509,humpback
