vggish_point,label
100-0,calibration
100-787,humpback
100-788,humpback
100-790,humpback
100-791,humpback
1006-0,calibration
1006-120,mooring
1006-121,mooring
1006-137,mooring
1006-138,mooring
1006-141,flow noise
1006-142,flow noise
1006-143,flow noise
1006-145,flow noise-mooring
1006-146,flow noise-mooring
1006-147,flow noise
1006-148,flow noise-mooring
1006-149,flow noise
1006-874,mooring
1006-875,mooring
1006-877,mooring
1006-878,mooring
1018-0,calibration
1018-273,fish
1018-274,fish
1018-275,fish
1018-276,fish
1018-278,humpback
1018-279,humpback
1018-289,humpback
1018-290,humpback
1018-297,fish
1018-298,fish
1018-299,fish
1020-0,calibration
1020-241,humpback
1020-242,humpback
1020-243,humpback
1020-244,humpback
1020-245,fish
1020-246,fish-humpback
1020-247,fish-humpback
1020-248,fish
1020-249,fish
1020-250,fish
1020-251,fish-humpback
1020-252,fish-humpback
1020-253,fish-humpback
1020-254,fish-humpback
1020-255,fish-humpback
1020-256,fish-humpback
1020-257,fish
1020-258,humpback
1020-259,humpback
1020-260,humpback
1020-261,humpback
1020-262,humpback
1020-267,humpback
1020-268,humpback
1039-0,calibration
1039-756,flow noise
1039-757,flow noise
1039-758,flow noise
1039-759,flow noise
1039-760,flow noise
1039-761,flow noise
1039-762,flow noise
1039-763,flow noise
1039-764,flow noise
1039-765,flow noise
1039-766,flow noise
1039-767,flow noise
1039-768,flow noise
1044-0,calibration
1044-244,mooring
1044-245,mooring
1044-251,mooring
1044-252,mooring
1044-257,fish-mooring
1044-258,fish-mooring
1044-259,fish-mooring
1044-260,fish
1044-261,mooring
1044-262,mooring
1044-497,mooring
1044-498,mooring
1044-505,mooring
1044-506,mooring
1044-507,mooring
1044-742,mooring
1044-743,mooring
1044-744,mooring
1044-745,mooring
1047-0,calibration
1047-720,airplane
1047-721,airplane
1047-722,airplane
1047-723,airplane
1047-724,humpback
1047-725,humpback
1047-726,humpback
1047-727,humpback
1047-728,humpback
1047-729,humpback
1047-730,humpback
1047-731,humpback
1047-732,humpback
1047-733,humpback
1047-734,humpback
1047-735,humpback
1047-736,humpback
1047-737,humpback
1047-738,humpback
1047-739,humpback
1047-740,humpback
1047-741,humpback
1047-742,humpback
1047-743,humpback
1047-744,humpback
1047-745,humpback
1047-746,humpback
1047-747,humpback
1047-748,humpback
1047-749,humpback
105-0,calibration
105-541,humpback
105-550,humpback
105-551,humpback
105-552,humpback
105-553,humpback
105-554,humpback
105-566,humpback
105-567,humpback
1052-0,calibration
1052-570,humpback
1052-571,humpback
1052-572,humpback
1052-573,humpback
1052-574,humpback
1052-575,humpback
1052-576,humpback
1052-577,humpback
1052-578,humpback
1052-579,flow noise-humpback
1052-580,flow noise-humpback
1052-581,flow noise
1052-582,flow noise-humpback
1052-583,flow noise-humpback
1052-584,flow noise
1052-585,humpback
1052-586,flow noise-humpback
1052-587,flow noise-humpback
1052-588,flow noise-humpback
1052-589,flow noise-humpback
1052-590,humpback
1052-591,humpback
1052-596,humpback
1052-598,humpback
1052-599,humpback
1056-0,calibration
1056-152,humpback
1056-153,humpback
