sound,image_name,vggish_point
mooring,20181204T100004-File-8.png,551-502
mooring,20181204T100004-File-8.png,551-503
mooring,20181204T100004-File-8.png,551-504
mooring,20181204T100004-File-8.png,551-505
helicopter,20181204T100004-File-8.png,551-554
helicopter,20181204T100004-File-8.png,551-555
helicopter,20181204T100004-File-8.png,551-556
helicopter,20181204T100004-File-8.png,551-557
helicopter,20181204T100004-File-8.png,551-558
helicopter,20181204T100004-File-8.png,551-559
helicopter,20181204T100004-File-8.png,551-560
helicopter,20181204T100004-File-8.png,551-561
helicopter,20181204T100004-File-8.png,551-562
helicopter,20181204T100004-File-8.png,551-563
mooring,20181204T113004-File-16.png,506-1003
mooring,20181204T113004-File-16.png,506-1004
mooring,20181204T113004-File-16.png,506-1005
mooring,20181204T113004-File-16.png,506-1006
mooring,20181204T113004-File-16.png,506-1007
mooring,20181204T113004-File-16.png,506-1030
mooring,20181204T113004-File-16.png,506-1031
mooring,20181204T113004-File-16.png,506-1032
mooring,20181204T113004-File-16.png,506-1033
mooring,20181204T113004-File-16.png,506-1044
mooring,20181204T113004-File-16.png,506-1045
mooring,20181204T113004-File-16.png,506-1046
mooring,20181204T113004-File-16.png,506-1047
mooring,20181204T113004-File-16.png,506-1048
mooring,20181204T113004-File-26.png,506-1659
mooring,20181204T113004-File-26.png,506-1660
mooring,20181204T113004-File-26.png,506-1661
mooring,20181204T113004-File-26.png,506-1662
mooring,20181204T143004-File-10.png,841-640
mooring,20181204T143004-File-10.png,841-641
mooring,20181204T143004-File-10.png,841-642
mooring,20181204T143004-File-10.png,841-643
mooring,20181204T143004-File-10.png,841-647
mooring,20181204T143004-File-10.png,841-648
mooring,20181204T143004-File-10.png,841-649
mooring,20181204T143004-File-10.png,841-650
mooring,20181204T143004-File-10.png,841-667
mooring,20181204T143004-File-10.png,841-668
mooring,20181204T143004-File-10.png,841-669
mooring,20181204T143004-File-10.png,841-670
mooring,20181205T070004-File-20.png,767-1271
mooring,20181205T070004-File-20.png,767-1272
mooring,20181205T070004-File-20.png,767-1273
mooring,20181205T070004-File-20.png,767-1274
mooring,20181205T070004-File-20.png,767-1275
mooring,20181205T070004-File-20.png,767-1277
mooring,20181205T070004-File-20.png,767-1278
mooring,20181205T070004-File-20.png,767-1279
mooring,20181205T070004-File-20.png,767-1280
mooring,20181205T070004-File-20.png,767-1291
mooring,20181205T070004-File-20.png,767-1292
mooring,20181205T070004-File-20.png,767-1293
mooring,20181205T070004-File-20.png,767-1294
mooring,20181205T070004-File-20.png,767-1295
mooring,20181205T070004-File-20.png,767-1304
mooring,20181205T070004-File-20.png,767-1305
mooring,20181205T070004-File-20.png,767-1306
mooring,20181205T070004-File-20.png,767-1307
mooring,20181205T070004-File-20.png,767-1308
mooring,20181205T070004-File-28.png,767-1788
mooring,20181205T070004-File-28.png,767-1789
mooring,20181205T070004-File-28.png,767-1790
mooring,20181205T070004-File-28.png,767-1791
mooring,20181205T070004-File-28.png,767-1792
mooring,20181205T070004-File-28.png,767-1793
mooring,20181205T070004-File-28.png,767-1794
mooring,20181205T070004-File-28.png,767-1795
mooring,20181205T070004-File-28.png,767-1808
mooring,20181205T070004-File-28.png,767-1809
mooring,20181205T070004-File-28.png,767-1810
mooring,20181205T083004-File-0.png,480-37
mooring,20181205T083004-File-0.png,480-38
mooring,20181205T083004-File-0.png,480-39
mooring,20181205T083004-File-0.png,480-40
mooring,20181205T190004-File-25.png,1191-1602
mooring,20181205T190004-File-25.png,1191-1603
mooring,20181205T190004-File-25.png,1191-1604
mooring,20181205T190004-File-25.png,1191-1605
mooring,20181205T190004-File-25.png,1191-1606
mooring,20181205T233004-File-11.png,1305-715
mooring,20181205T233004-File-11.png,1305-716
mooring,20181205T233004-File-11.png,1305-717
mooring,20181205T233004-File-11.png,1305-718
mooring,20181205T233004-File-11.png,1305-722
mooring,20181205T233004-File-11.png,1305-723
mooring,20181205T233004-File-11.png,1305-724
mooring,20181205T233004-File-11.png,1305-725
mooring,20181205T233004-File-11.png,1305-726
flow noise,20181205T233004-File-11.png,1305-687
flow noise,20181205T233004-File-11.png,1305-688
flow noise,20181205T233004-File-11.png,1305-689
flow noise,20181205T233004-File-11.png,1305-690
flow noise,20181205T233004-File-11.png,1305-691
flow noise,20181205T233004-File-11.png,1305-692
flow noise,20181205T233004-File-11.png,1305-693
flow noise,20181205T233004-File-11.png,1305-694
flow noise,20181206T083004-File-4.png,534-250
flow noise,20181206T083004-File-4.png,534-251
flow noise,20181206T083004-File-4.png,534-252
